Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
76,The Wind Rises,2013,1221,13,https://letterboxd.com/film/the-wind-rises/
77,The Banshees of Inisherin,2022,1219,13,https://letterboxd.com/film/the-banshees-of-inisherin/
78,Her,2013,1219,13,https://letterboxd.com/film/her/
79,Akira,1988,1218,13,https://letterboxd.com/film/akira/
80,South Park: Bigger Longer and Uncut,1999,1218,13,https://letterboxd.com/film/south-park-bigger-longer-uncut/
81,To Kill A Mockingbird,1962,1215,13,https://letterboxd.com/film/to-kill-a-mockingbird/
82,The Wild Robot,2024,1214,13,https://letterboxd.com/film/the-wild-robot/
83,The Sixth Sense,1999,1214,13,https://letterboxd.com/film/the-sixth-sense/
84,Jaws,1975,1214,13,https://letterboxd.com/film/jaws/
85,Wicked,2024,1211,12,https://letterboxd.com/film/wicked-2024/
86,The Menu,2022,1210,13,https://letterboxd.com/film/the-menu-2022/
87,Top Gun: Maverick,2022,1209,13,https://letterboxd.com/film/top-gun-maverick/
88,The Great Dictator,1940,1208,13,https://letterboxd.com/film/the-great-dictator/
89,Shrek 2,2004,1208,13,https://letterboxd.com/film/shrek-2/
90,Avengers: Infinity War,2018,1207,13,https://letterboxd.com/film/avengers-infinity-war/
91,Encanto,2021,1206,13,https://letterboxd.com/film/encanto/
92,Letters From Iwo Jima,2006,1206,13,https://letterboxd.com/film/letters-from-iwo-jima/
93,Barbie,2023,1206,12,https://letterboxd.com/film/barbie/
94,The Truman Show,1998,1205,13,https://letterboxd.com/film/the-truman-show/
95,Jurassic Park,1993,1204,13,https://letterboxd.com/film/jurassic-park/
96,Poor Things,2023,1203,12,https://letterboxd.com/film/poor-things-2023/
97,The Iron Giant,1999,1203,13,https://letterboxd.com/film/the-iron-giant/
98,Kung Fu Panda,2008,1199,13,https://letterboxd.com/film/kung-fu-panda/
99,Dunkirk,2017,1199,13,https://letterboxd.com/film/dunkirk-2017/
100,Indiana Jones and the Last Crusade,1989,1199,13,https://letterboxd.com/film/indiana-jones-and-the-last-crusade/
101,A Real Pain,2024,1198,13,https://letterboxd.com/film/a-real-pain/
102,Alien,1979,1196,12,https://letterboxd.com/film/alien/
103,My Neighbor Totoro,1988,1195,13,https://letterboxd.com/film/my-neighbor-totoro/
104,Avengers: Endgame,2019,1195,13,https://letterboxd.com/film/avengers-endgame/
105,Little Women,2019,1194,13,https://letterboxd.com/film/little-women-2019/
106,Nickel Boys,2024,1193,13,https://letterboxd.com/film/nickel-boys/
107,Conclave,2024,1192,12,https://letterboxd.com/film/conclave/
108,The Disaster Artist,2017,1189,13,https://letterboxd.com/film/the-disaster-artist/
109,How to Train Your Dragon,2010,1189,13,https://letterboxd.com/film/how-to-train-your-dragon/
110,Shrek,2001,1188,13,https://letterboxd.com/film/shrek/
111,The Revenant,2015,1188,12,https://letterboxd.com/film/the-revenant-2015/
112,Pirates of the Caribbean: The Curse of the Black Pearl,2003,1184,13,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/
113,The Mitchells vs. The Machines,2021,1183,13,https://letterboxd.com/film/the-mitchells-vs-the-machines/
114,The Princess Bride,1987,1183,13,https://letterboxd.com/film/the-princess-bride/
115,The Zone of Interest,2023,1183,13,https://letterboxd.com/film/the-zone-of-interest/
116,The Lion King,1994,1182,13,https://letterboxd.com/film/the-lion-king/
117,Kill Bill Vol. 2,2004,1177,12,https://letterboxd.com/film/kill-bill-vol-2/
118,All Quiet on the Western Front,2022,1177,13,https://letterboxd.com/film/all-quiet-on-the-western-front-2022/
119,The Lego Movie,2014,1176,12,https://letterboxd.com/film/the-lego-movie/
120,Inside Out,2015,1172,12,https://letterboxd.com/film/inside-out-2015/
121,Molly's Game,2017,1172,13,https://letterboxd.com/film/mollys-game/
122,Superbad,2007,1172,13,https://letterboxd.com/film/superbad/
123,Toy Story 2,1999,1170,13,https://letterboxd.com/film/toy-story-2/
124,Million Dollar Baby,2004,1169,13,https://letterboxd.com/film/million-dollar-baby/
125,Batman Begins,2005,1166,13,https://letterboxd.com/film/batman-begins/
126,Thor: Ragnarok,2017,1164,13,https://letterboxd.com/film/thor-ragnarok/
127,Iron Man,2008,1164,13,https://letterboxd.com/film/iron-man-2008/
128,Return of the Jedi,1983,1163,13,https://letterboxd.com/film/return-of-the-jedi/
129,How to Train Your Dragon 2,2014,1160,13,https://letterboxd.com/film/how-to-train-your-dragon-2/
130,Argo,2012,1160,13,https://letterboxd.com/film/argo/
131,Moana,2016,1158,13,https://letterboxd.com/film/moana-2016/
132,Coco,2017,1158,13,https://letterboxd.com/film/coco-2017/
133,Toy Story,1995,1158,13,https://letterboxd.com/film/toy-story/
134,Jojo Rabbit,2019,1157,12,https://letterboxd.com/film/jojo-rabbit/
135,Slumdog Millionaire,2008,1157,13,https://letterboxd.com/film/slumdog-millionaire/
136,Saw II,2005,1154,13,https://letterboxd.com/film/saw-ii/
137,Isle of Dogs,2018,1154,13,https://letterboxd.com/film/isle-of-dogs-2018/
138,Aladdin,1992,1153,13,https://letterboxd.com/film/aladdin/
139,District 9,2009,1153,12,https://letterboxd.com/film/district-9/
140,Monster's Inc,2001,1150,13,https://letterboxd.com/film/monsters-inc/
141,Back to the Future Part II,1989,1150,13,https://letterboxd.com/film/back-to-the-future-part-ii/
142,Spider-Man: No Way Home,2021,1149,13,https://letterboxd.com/film/spider-man-no-way-home/
143,Steve Jobs,2015,1149,13,https://letterboxd.com/film/steve-jobs/
144,Brooklyn,2015,1147,12,https://letterboxd.com/film/brooklyn/
145,Fantastic Mr. Fox,2009,1146,13,https://letterboxd.com/film/fantastic-mr-fox/
146,Ferris Bueller's Day Off,1986,1146,13,https://letterboxd.com/film/ferris-buellers-day-off/
147,Deadpool,2016,1143,13,https://letterboxd.com/film/deadpool/
148,Glass Onion: A Knives Out Mystery,2022,1143,13,https://letterboxd.com/film/glass-onion-a-knives-out-mystery/
149,Ghostbusters,1984,1143,12,https://letterboxd.com/film/ghostbusters/
150,Toy Story 3,2010,1141,13,https://letterboxd.com/film/toy-story-3/
151,The Terminator,1984,1141,13,https://letterboxd.com/film/the-terminator/
152,Scream,1997,1141,13,https://letterboxd.com/film/scream/
153,Kingsman: The Secret Service,2014,1140,12,https://letterboxd.com/film/kingsman-the-secret-service/
154,Sonic the Hedgehog 3,2024,1137,12,https://letterboxd.com/film/sonic-the-hedgehog-3/
